clay_pct,confidence,country,decision_source,field_hectares_for_land_estimate,frost_risk,hard_violations,humidity_pct,land_buyout_eur_per_ha,land_buyout_field_eur,land_monthly_rent_eur,land_price_matched_region,land_value_data_year,lat,llm_rating,llm_reasoning,llm_score,lon,mean_temp_c,missing_features,nuts_region,point_id,rainfall_mm,risk_index,risk_level,risk_summary,rules_reasoning,rules_score_before_nuts2,score,score_band,soil_error,soil_ok,soil_organic_carbon_gkg,soil_ph,temp_std_c,weather_error,weather_ok,weather_stress_ratio,wind_speed_10m_kmh
19.9,0.887,France,rules,10.0,0.0,[],67.704,4040.0,40400.0,2020.0,Pays de la Loire,2024,47.493342,,,,0.158156,14.577,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,P009,246.74,0.163,low,balanced climate and stress indicators,"Best-ranked site P009 for Wheat scores 68.8% (good), based on matching weather and soil signals to crop-specific ideal and limit ranges. Confidence reflects how many inputs were present (about 89% here).

What looks strong: Relative humidity (67.7%) is within the ideal band (47.93–71.93) for Wheat. Frost exposure (0.0% of hours at or below freezing) is within the ideal band (0–0.5) for Wheat. Rainfall (247 mm (annualized)) is within the ideal band (150–1400) for Wheat. Soil pH (8.06) is within the ideal band (5–8.5) for Wheat. Soil organic carbon (19.7 g/kg) is within the ideal band (4–50) for Wheat. Wind speed (11.1 km/h) is within the ideal band (0–40) for Wheat. Severe-weather stress (0.0% of hours with severe weather codes) is within the ideal band (0–0.35) for Wheat.

What is acceptable but not ideal: Mean temperature is 14.6 °C, below the ideal range (25.56–35.56) but still inside acceptable bounds (12.56–48), so growth potential may be reduced. Clay content is 19.9%, below the ideal range (30–54) but still inside acceptable bounds (0–100), so growth potential may be reduced.

Data limitations: no values for Surface soil moisture, Sand content, Reference evapotranspiration (ET0). Those gaps reduce confidence and apply a scoring penalty.",71.438,68.788,good,,True,19.662,8.06,4.539,,True,0.0,11.096
27.6,0.817,France,rules,10.0,0.0,"[""rainfall_mm""]",66.842,4760.0,47600.0,2380.0,Poitou-Charentes,2024,45.268652,,,,0.015468,16.14,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,P005,83.22,0.154,low,balanced climate and stress indicators,,63.685,62.43,good,,True,12.76,6.36,4.742,,True,0.0,9.367
27.4,0.817,France,rules,10.0,0.0,"[""rainfall_mm""]",68.112,7310.0,73100.0,3655.0,Midi-Pyrénées,2024,44.236068,,,,1.178521,15.714,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,P006,122.64,0.161,low,balanced climate and stress indicators,,62.767,61.678,good,,True,11.194,7.59,4.546,,True,0.0,10.729
22.9,0.817,France,rules,10.0,0.0,"[""rainfall_mm""]",67.483,6670.0,66700.0,3335.0,Centre — Val de Loire,2024,47.884928,,,,2.562323,13.729,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,P007,30.295,0.16,low,balanced climate and stress indicators,,57.109,57.038,fair,,True,16.646,8.02,4.539,,True,0.0,10.542
17.9,0.817,France,rules,10.0,0.0,"[""rainfall_mm""]",63.421,4570.0,45700.0,2285.0,Rhône-Alpes,2024,45.947594,,,,4.673498,14.416,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,P008,19.71,0.141,low,balanced climate and stress indicators,,56.523,56.557,fair,,True,16.82,8.01,4.588,,True,0.0,7.208
20.9,0.817,France,rules,10.0,0.0,"[""rainfall_mm""]",71.667,6520.0,65200.0,3260.0,Bretagne,2024,48.332447,,,,-2.224171,13.133,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,P010,48.545,0.167,low,balanced climate and stress indicators,,55.159,55.439,fair,,True,16.936,8.08,4.204,,True,0.0,11.658
20.9,0.817,France,rules,10.0,0.0,"[""rainfall_mm""]",69.221,4040.0,40400.0,2020.0,Pays de la Loire,2024,48.344957,,,,-0.005713,13.068,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,P003,121.91,0.162,low,balanced climate and stress indicators,,55.031,55.334,fair,,True,16.936,8.08,4.608,,True,0.0,10.838
20.9,0.747,France,rules,10.0,0.0,"[""mean_temp_c"", ""rainfall_mm""]",69.15,9900.0,99000.0,4950.0,Haute-Normandie,2024,49.731864,,,,0.303177,12.3,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,P002,14.235,0.194,low,balanced climate and stress indicators,,46.03,47.953,fair,,True,16.936,8.08,2.49,,True,0.0,16.479
17.9,0.747,France,rules,10.0,0.0,"[""mean_temp_c"", ""rainfall_mm""]",65.383,8790.0,87900.0,4395.0,Picardie,2024,49.161007,,,,2.515728,12.533,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,P004,17.885,0.16,low,balanced climate and stress indicators,,44.865,46.998,fair,,True,17.922,7.95,4.451,,True,0.0,10.454
28.7,0.887,France,llm,10.0,0.0,[],61.112,7310.0,73100.0,3655.0,Midi-Pyrénées,2024,44.425172,poor,"Zero frost risk and ideal soil pH are strong positives. However, extremely low rainfall (194.5 mm) is the strongest limiting factor, making rainfed wheat cultivation highly unsuitable due to severe water stress.",25.0,2.796563,13.444,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,P001,194.545,0.164,low,balanced climate and stress indicators,,25.0,30.709,poor,,True,10.15,7.16,4.488,,True,0.0,11.137
